url,zip_code,locality,price,type_transaction,subtype_transaction,type_of_property,subtype_of_property,energy_class,heating_type,construction_year,number_of_frontages,surface_land,surface_livable_space,number_floors,building_condition,surroundings_type,furnished,nb_of_rooms,rooms_living_room,rooms_dining_room,rooms_kitchen_type_installed,rooms_kitchen_type_kitchen_surface,rooms_bedrooms_number,rooms_bedrooms_surface,rooms_bathrooms_number,rooms_toilets_number,rooms_laundry_room,rooms_office_presence,rooms_office_surface,rooms_basement_presence,rooms_basement_surface,rooms_attic,extras_open_fire,exterior_terrace_presence,exterior_terrace_surface,exterior_terrace_orientation,exterior_garden_presence,exterior_garden_surface,exterior_garden_orientation,exterior_swimming_pool
https://www.immoweb.be/en/classified/apartment/for-rent/boom/2850/11418746,2850,Boom,695.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,D,,,,,50,,Good,,False,7,19,,False,3,1,['14'],1,1,False,False,,True,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/middelkerke/8430/10663284,8430,Middelkerke,550.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,C,,1972,,,44,8,Good,,False,6,,,False,,1,[],1,1,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/gent/0/11297796,0,Gent,750.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,Gas,,,,52,,Good,Urban,False,6,,,False,,1,[],1,1,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/dendermonde/9200/10906696,9200,Dendermonde,750.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,Gas,,2,,,3,Good,Urban,False,10,36,True,Hyper equipped,,2,"['14', '12']",1,1,True,False,,False,,False,False,True,5,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/denderhoutem/9450/11401527,9450,Denderhoutem,775.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,C,,,,,60,,Good,,False,6,,,False,,1,[],1,1,False,False,,False,,False,False,True,30,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/soignies/7060/11480349,7060,Soignies,890.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,A,Gas,,4,,114,4,,,False,9,28,,Installed,13,2,"['12', '9']",1,1,True,False,,True,,False,False,True,6,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9052/11372541,9052,Gent,1100.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,C,Gas,,,,80,,,Fitted out,False,7,,,False,1,2,[],1,1,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/knokke-heist/8300/11356484,8300,Knokke-Heist,1700.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,Not specified,Gas,2006,,,,,As new,Landscape,False,10,,,Hyper equipped,,2,"['11', '10']",2,2,True,False,,False,,False,False,True,,,False,,,No
https://www.immoweb.be/en/classified/service-flat/for-rent/kapellen/2950/11421605,2950,Kapellen,1085.0,FOR_RENT,RENT_REGULAR,APARTMENT,SERVICE_FLAT,A,Electric,2018,,,,,As new,Shop street,False,7,,,False,,1,[],1,,True,False,,False,,False,False,False,,,False,,,No
https://www.immoweb.be/en/classified/duplex/for-rent/hasselt/3500/11373163,3500,Hasselt,1200.0,FOR_RENT,RENT_REGULAR,APARTMENT,DUPLEX,A,,2022,,,,7,As new,,False,7,,,False,,2,"['16', '9']",1,1,False,False,,False,,False,False,True,14,,False,,,False
